Sequence,Date
15-17-18-32-34-43,1-Jan-2020
1-9-10-14-23-37,4-Jan-2020
8-13-16-34-37-42,6-Jan-2020
6-19-20-22-25-38,8-Jan-2020
9-19-34-37-39-47,11-Jan-2020
1-2-13-14-24-38,13-Jan-2020
9-15-22-27-37-40,15-Jan-2020
24-31-41-43-47-49,18-Jan-2020
22-25-27-37-38-40,20-Jan-2020
2-4-14-19-27-30,22-Jan-2020
5-9-16-25-26-43,25-Jan-2020
19-29-35-42-44-49,27-Jan-2020
3-5-22-23-35-42,29-Jan-2020
5-20-31-41-44-49,1-Feb-2020
14-19-26-30-31-45,3-Feb-2020
18-27-36-40-43-49,5-Feb-2020
3-5-9-15-30-47,8-Feb-2020
2-4-15-34-47-49,10-Feb-2020
9-18-21-23-28-40,12-Feb-2020
9-14-21-33-38-49,15-Feb-2020
10-16-25-38-45-46,17-Feb-2020
3-4-13-17-41-48,19-Feb-2020
2-8-9-38-39-45,22-Feb-2020
2-10-13-18-21-42,24-Feb-2020
1-23-24-28-45-48,26-Feb-2020
1-13-14-20-39-41,29-Feb-2020
10-30-32-34-38-47,2-Mar-2020
5-7-16-23-36-37,4-Mar-2020
6-13-29-37-43-48,7-Mar-2020
17-19-28-33-37-42,9-Mar-2020
3-13-14-23-31-48,11-Mar-2020
8-12-17-22-29-35,14-Mar-2020
7-25-26-46-47-48,16-Mar-2020
4-24-29-30-37-43,18-Mar-2020
5-10-25-28-33-36,21-Mar-2020
12-17-18-30-39-45,23-Mar-2020
7-8-10-29-32-33,25-Mar-2020
1-7-16-27-29-40,28-Mar-2020
9-14-30-33-45-47,30-Mar-2020
4-18-24-26-42-44,1-Apr-2020
1-3-15-26-35-43,4-Apr-2020
6-24-33-41-44-49,6-Apr-2020
7-14-16-19-27-49,8-Apr-2020
2-3-11-12-16-28,11-Apr-2020
9-23-26-28-30-48,13-Apr-2020
5-14-16-42-47-49,15-Apr-2020
3-5-13-16-28-34,18-Apr-2020
1-3-5-7-31-39,20-Apr-2020
1-23-25-29-41-45,22-Apr-2020
8-13-15-32-36-38,25-Apr-2020
8-9-11-28-37-43,27-Apr-2020
3-23-26-33-42-45,29-Apr-2020
5-34-38-41-44-45,2-May-2020
2-6-30-31-40-42,4-May-2020
12-14-15-18-31-43,6-May-2020
1-4-13-19-26-30,9-May-2020
5-7-10-15-21-43,11-May-2020
15-18-22-29-43-46,13-May-2020
11-12-16-32-41-45,16-May-2020
16-29-32-33-35-43,18-May-2020
7-10-24-34-37-45,20-May-2020
5-21-23-33-37-42,23-May-2020
6-8-25-35-42-46,25-May-2020
8-24-25-29-33-44,27-May-2020
12-15-29-36-44-49,30-May-2020
12-13-16-18-23-48,1-Jun-2020
4-12-24-28-46-48,3-Jun-2020
7-10-14-25-38-41,6-Jun-2020
9-12-30-38-40-43,8-Jun-2020
7-8-16-41-42-45,10-Jun-2020
4-12-26-31-39-49,13-Jun-2020
12-14-15-25-28-31,15-Jun-2020
12-19-23-32-41-49,17-Jun-2020
4-6-9-32-39-40,20-Jun-2020
2-12-25-26-31-32,22-Jun-2020
3-6-32-39-41-43,24-Jun-2020
3-18-27-32-35-40,27-Jun-2020
5-6-12-17-19-47,29-Jun-2020
9-10-12-19-35-43,1-Jul-2020
4-5-9-29-34-41,4-Jul-2020
7-23-28-35-39-49,6-Jul-2020
29-34-33-36-43-45,8-Jul-2020
6-22-29-41-42-48,11-Jul-2020
2-31-40-41-42-47,13-Jul-2020
7-9-12-13-19-36,15-Jul-2020
10-15-28-32-33-47,18-Jul-2020
13-17-30-33-37-39,20-Jul-2020
16-20-27-30-35-39,22-Jul-2020
9-24-31-35-38-43,25-Jul-2020
5-9-11-19-23-29,27-Jul-2020
7-18-23-31-37-48,29-Jul-2020
7-8-20-24-45-47,1-Aug-2020
12-22-24-27-30-40,3-Aug-2020
7-14-20-30-31-39,5-Aug-2020
10-23-26-29-41-47,8-Aug-2020
7-12-16-33-42-49,10-Aug-2020
4-5-8-24-40-49,12-Aug-2020
6-17-31-32-35-37,15-Aug-2020
17-21-23-26-28-40,17-Aug-2020
8-9-26-32-39-47,19-Aug-2020
7-8-23-26-30-31,22-Aug-2020
4-19-23-29-36-48,24-Aug-2020
3-13-26-29-32-47,26-Aug-2020
7-8-18-20-35-39,29-Aug-2020
4-8-20-25-45-46,31-Aug-2020
9-11-20-26-35-45,2-Sep-2020
10-17-22-29-40-41,5-Sep-2020
2-14-15-28-30-39,7-Sep-2020
5-16-33-40-44-45,9-Sep-2020
1-13-17-31-39-43,12-Sep-2020
2-7-26-28-39-44,14-Sep-2020
1-5-15-19-38-40,16-Sep-2020
13-15-18-21-27-35,19-Sep-2020
12-18-29-31-41-47,21-Sep-2020
6-14-15-20-40-47,23-Sep-2020
1-15-19-21-23-38,26-Sep-2020
9-11-24-25-28-34,28-Sep-2020
9-10-30-32-34-48,30-Sep-2020
7-14-21-33-46-47,3-Oct-2020
7-16-25-37-39-43,5-Oct-2020
7-8-11-33-35-45,7-Oct-2020
15-20-26-31-43-46,10-Oct-2020
9-10-13-21-30-42,12-Oct-2020
14-16-25-35-43-45,14-Oct-2020
7-12-20-25-34-45,17-Oct-2020
4-5-12-13-34-40,19-Oct-2020
3-5-12-17-22-33,21-Oct-2020
13-22-32-39-40-42,24-Oct-2020
4-10-28-31-32-38,26-Oct-2020
3-5-16-18-23-33,28-Oct-2020
4-8-16-20-28-37,31-Oct-2020
6-7-15-30-32-40,2-Nov-2020
5-21-29-36-39-49,4-Nov-2020
3-18-23-26-34-43,7-Nov-2020
6-7-9-11-34-43,9-Nov-2020
5-21-31-35-44-45,11-Nov-2020
6-17-18-23-44-46,14-Nov-2020
6-16-18-27-40-47,16-Nov-2020
3-35-38-43-48-49,18-Nov-2020
6-8-11-14-25-37,21-Nov-2020
14-15-18-34-37-40,23-Nov-2020
11-18-25-35-46-49,25-Nov-2020
5-16-21-23-27-36,28-Nov-2020
15-23-26-28-42-48,30-Nov-2020
14-25-41-42-44-47,2-Dec-2020
8-13-15-17-37-41,5-Dec-2020
3-12-19-39-44-48,7-Dec-2020
4-6-7-27-28-47,9-Dec-2020
5-14-15-17-22-38,12-Dec-2020
16-31-41-42-48-49,14-Dec-2020
10-11-14-24-34-44,16-Dec-2020
1-6-20-35-42-46,19-Dec-2020
4-18-22-28-34-39,21-Dec-2020
2-8-11-12-15-34,23-Dec-2020
1-10-23-24-30-38,26-Dec-2020
7-13-23-35-43-45,28-Dec-2020
2-8-10-14-31-47,30-Dec-2020
,
,
4-7-8-13-22-37,2-Jan-2021
2-16-23-24-30-36,4-Jan-2021
2-12-20-43-46-48,6-Jan-2021
4-28-31-34-36-46,9-Jan-2021
3-8-27-42-45-46,11-Jan-2021
18-20-24-30-37-45,13-Jan-2021
6-11-12-22-41-43,16-Jan-2021
8-13-23-24-25-40,18-Jan-2021
4-10-16-31-37-40,20-Jan-2021
5-12-38-40-43-44,23-Jan-2021
4-9-20-33-40-41,25-Jan-2021
10-20-21-26-37-45,27-Jan-2021
14-18-32-36-37-47,30-Jan-2021
14-15-17-20-29-34,1-Feb-2021
1-2-12-14-17-43,3-Feb-2021
19-22-28-44-45-49,6-Feb-2021
3-5-6-35-36-43,8-Feb-2021
20-24-26-36-45-48,10-Feb-2021
3-6-10-18-22-43,13-Feb-2021
5-19-21-26-35-38,15-Feb-2021
3-20-28-29-35-45,17-Feb-2021
14-16-25-28-31-32,20-Feb-2021
14-21-31-37-38-47,22-Feb-2021
4-24-29-33-35-49,24-Feb-2021
5-19-31-35-46-49,27-Feb-2021
4-8-22-35-39-49,1-Mar-2021
3-20-28-32-36-38,3-Mar-2021
11-12-27-32-42-44,6-Mar-2021
2-10-17-29-42-48,8-Mar-2021
7-22-29-34-39-41,10-Mar-2021
2-6-18-22-37-44,13-Mar-2021
2-15-17-22-23-40,15-Mar-2021
4-27-29-43-46-48,17-Mar-2021
9-25-27-33-39-49,20-Mar-2021
3-19-33-37-42-43,22-Mar-2021
17-25-28-36-37-49,24-Mar-2021
5-11-18-33-46-48,27-Mar-2021
6-7-16-20-31-48,29-Mar-2021
11-15-29-38-39-43,31-Mar-2021
2-3-12-13-20-30,3-Apr-2021
3-10-11-12-34-46,5-Apr-2021
11-14-17-18-22-31,7-Apr-2021
1-22-27-30-31-44,10-Apr-2021
1-8-21-31-32-35,12-Apr-2021
7-10-16-25-47-48,14-Apr-2021
11-22-25-37-41-43,17-Apr-2021
5-11-14-28-33-34,19-Apr-2021
8-10-17-27-32-42,21-Apr-2021
3-20-32-35-37-42,24-Apr-2021
7-11-18-26-30-32,26-Apr-2021
3-5-17-33-35-49,28-Apr-2021
15-25-26-37-48-49,1-May-2021
10-28-33-38-41-42,3-May-2021
9-23-27-31-32-47,5-May-2021
1-8-19-31-46-49,8-May-2021
5-8-18-20-43-48,10-May-2021
10-21-22-30-31-37,12-May-2021
2-13-15-29-42-48,15-May-2021
2-27-28-32-40-49,17-May-2021
6-11-39-41-45-48,19-May-2021
3-22-33-35-36-37,22-May-2021
1-14-19-40-46-47,24-May-2021
5-10-11-17-28-47,26-May-2021
18-19-27-28-40-49,29-May-2021
4-10-20-23-44-46,31-May-2021
6-9-10-12-16-35,2-Jun-2021
9-37-38-39-42-49,5-Jun-2021
4-12-15-22-30-46,7-Jun-2021
16-27-31-38-41-48,9-Jun-2021
12-28-29-30-40-41,12-Jun-2021
12-14-17-18-23-28,14-Jun-2021
15-19-27-33-42-45,16-Jun-2021
5-17-21-24-39-40,19-Jun-2021
9-12-31-33-45-47,21-Jun-2021
13-16-30-32-48-49,23-Jun-2021
3-12-17-23-25-46,26-Jun-2021
4-5-7-18-19-35,28-Jun-2021
6-14-23-24-26-46,30-Jun-2021
1-7-22-31-46-48,3-Jul-2021
4-5-12-13-27-48,5-Jul-2021
5-11-22-35-39-49,7-Jul-2021
17-22-25-29-34-38,10-Jul-2021
2-8-17-22-36-37,12-Jul-2021
6-8-26-29-33-43,14-Jul-2021
2-6-11-20-26-39,17-Jul-2021
4-16-17-28-35-45,19-Jul-2021
6-7-8-12-40-42,21-Jul-2021
7-24-26-27-30-44,24-Jul-2021
7-14-16-22-23-29,26-Jul-2021
1-3-17-29-36-39,28-Jul-2021
6-13-31-41-45-48,31-Jul-2021
5-11-26-35-36-41,2-Aug-2021
5-11-16-23-41-46,4-Aug-2021
3-8-10-24-31-46,7-Aug-2021
4-27-29-32-40-45,9-Aug-2021
5-6-7-37-41-48,11-Aug-2021
5-30-40-44-46-47,14-Aug-2021
10-14-16-21-36-44,16-Aug-2021
6-7-9-21-25-27,18-Aug-2021
16-19-22-24-30-47,21-Aug-2021
7-10-27-29-41-48,23-Aug-2021
9-32-36-45-47-48,25-Aug-2021
1-10-12-13-30-40,28-Aug-2021
9-11-18-34-42-45,30-Aug-2021
4-12-24-28-30-42,1-Sep-2021
1-12-16-39-46-47,4-Sep-2021
4-7-18-24-27-45,6-Sep-2021
2-7-20-25-36-43,8-Sep-2021
3-19-29-30-41-49,11-Sep-2021
12-18-23-29-38-42,13-Sep-2021
2-9-18-21-35-37,15-Sep-2021
9-19-22-26-27-33,18-Sep-2021
2-11-26-39-45-47,20-Sep-2021
6-15-17-22-24-33,22-Sep-2021
10-12-15-17-24-33,25-Sep-2021
3-8-10-37-40-43,27-Sep-2021
3-17-20-21-36-41,29-Sep-2021
15-22-26-30-44-49,2-Oct-2021
6-15-19-24-26-45,4-Oct-2021
6-18-23-24-29-30,6-Oct-2021
12-14-23-34-39-45,9-Oct-2021
2-6-26-32-34-45,11-Oct-2021
20-29-31-36-39-45,13-Oct-2021
2-4-23-39-41-47,16-Oct-2021
9-11-23-24-45-49,18-Oct-2021
8-12-30-35-37-40,20-Oct-2021
3-4-12-14-34-46,23-Oct-2021
2-20-27-46-47-49,25-Oct-2021
11-24-27-32-44-45,27-Oct-2021
6-8-24-27-37-41,30-Oct-2021
7-11-19-20-21-43,1-Nov-2021
19-26-30-33-36-37,3-Nov-2021
10-25-28-31-39-45,6-Nov-2021
8-16-17-23-38-46,8-Nov-2021
10-11-21-29-33-46,10-Nov-2021
1-19-32-37-45-48,13-Nov-2021
7-10-23-39-41-43,15-Nov-2021
1-7-10-36-44-46,17-Nov-2021
21-25-27-33-36-46,20-Nov-2021
4-22-24-34-35-48,22-Nov-2021
13-20-24-26-34-36,24-Nov-2021
13-23-43-44-47-49,27-Nov-2021
4-6-17-24-32-33,29-Nov-2021
4-7-15-17-23-42,1-Dec-2021
8-16-20-31-38-45,4-Dec-2021
6-10-28-34-45-49,6-Dec-2021
21-23-35-41-43-49,8-Dec-2021
7-13-15-24-32-37,11-Dec-2021
9-13-27-29-42-43,13-Dec-2021
4-10-11-34-39-43,15-Dec-2021
6-14-24-27-36-47,18-Dec-2021
2-13-25-36-37-45,20-Dec-2021
11-12-19-20-34-43,22-Dec-2021
17-20-22-29-42-46,25-Dec-2021
6-7-17-35-36-45,27-Dec-2021
8-11-13-33-38-47,29-Dec-2021
,
,
4-14-22-35-45-47,1-Jan-2022
9-20-21-22-26-36,3-Jan-2022
9-12-13-18-20-24,5-Jan-2022
6-31-37-41-42-47,8-Jan-2022
2-4-15-27-35-37,10-Jan-2022
13-16-32-36-40-46,12-Jan-2022
9-30-34-43-45-47,15-Jan-2022
4-21-31-33-39-49,17-Jan-2022
8-9-26-32-35-48,19-Jan-2022
4-10-14-15-22-29,22-Jan-2022
4-15-19-26-37-45,24-Jan-2022
8-17-30-32-33-49,26-Jan-2022
2-9-20-38-39-42,29-Jan-2022
4-7-21-28-33-46,31-Jan-2022
23-28-35-37-38-40,2-Feb-2022
1-4-15-32-40-43,5-Feb-2022
13-35-38-39-41-48,7-Feb-2022
8-11-23-38-41-46,9-Feb-2022
10-22-23-31-42-49,12-Feb-2022
13-15-19-27-30-40,14-Feb-2022
15-16-18-20-32-37,16-Feb-2022
1-12-22-29-32-49,19-Feb-2022
3-13-32-36-40-43,21-Feb-2022
2-13-22-25-35-47,23-Feb-2022
1-10-16-20-23-36,26-Feb-2022
9-18-34-35-38-45,28-Feb-2022
6-8-10-25-28-48,2-Mar-2022
21-23-27-29-46-49,5-Mar-2022
4-5-27-31-37-44,7-Mar-2022
5-23-39-42-47-48,9-Mar-2022
6-24-32-34-44-45,12-Mar-2022
6-15-16-32-42-43,14-Mar-2022
2-14-43-44-45-46,16-Mar-2022
22-28-31-37-42-45,19-Mar-2022
11-26-34-35-40-46,21-Mar-2022
5-11-23-31-33-34,23-Mar-2022
3-5-16-30-43-46,26-Mar-2022
2-4-15-19-26-27,28-Mar-2022
5-12-13-26-28-35,30-Mar-2022
4-17-24-25-31-40,2-Apr-2022
5-8-10-16-22-39,4-Apr-2022
10-13-16-26-33-37,6-Apr-2022
3-11-20-21-22-34,9-Apr-2022
7-14-20-31-32-34,11-Apr-2022
1-2-4-34-42-44,13-Apr-2022
11-14-21-31-33-43,16-Apr-2022
1-2-16-20-43-46,18-Apr-2022
5-10-13-29-39-48,20-Apr-2022
2-7-18-34-36-38,23-Apr-2022
2-31-34-40-42-45,25-Apr-2022
1-17-28-32-41-48,27-Apr-2022
8-15-17-40-42-46,30-Apr-2022
6-10-23-24-32-42,2-May-2022
1-13-14-16-38-47,4-May-2022
4-11-12-17-23-49,7-May-2022
8-9-10-14-22-44,9-May-2022
8-16-29-31-35-48,11-May-2022
13-18-19-22-35-40,14-May-2022
2-19-20-22-41-49,16-May-2022
1-7-17-20-34-43,18-May-2022
10-11-16-34-39-49,21-May-2022
20-24-25-31-33-40,23-May-2022
10-18-22-31-40-49,25-May-2022
16-19-25-26-44-48,28-May-2022
7-19-29-31-37-49,30-May-2022
6-9-10-14-17-49,1-Jun-2022
5-10-18-24-28-33,4-Jun-2022
8-15-30-31-39-42,6-Jun-2022
5-7-9-14-31-34,8-Jun-2022
13-25-26-27-35-36,11-Jun-2022
2-6-16-23-31-34,13-Jun-2022
6-14-19-21-34-45,15-Jun-2022
12-20-33-34-43-46,18-Jun-2022
13-20-23-27-35-42,20-Jun-2022
7-13-15-43-48-49,22-Jun-2022
12-31-34-35-40-46,25-Jun-2022
7-12-34-35-37-48,27-Jun-2022
8-12-16-22-36-44,29-Jun-2022
9-12-15-30-35-39,2-Jul-2022
6-10-18-26-39-42,4-Jul-2022
7-18-29-31-40-43,6-Jul-2022
1-10-23-24-25-32,9-Jul-2022
3-30-35-36-40-41,11-Jul-2022
4-9-12-13-14-41,13-Jul-2022
1-14-19-32-38-49,16-Jul-2022
5-8-11-21-37-38,18-Jul-2022
4-6-13-19-35-49,20-Jul-2022
2-3-8-23-32-38,23-Jul-2022
5-16-18-39-32-36,25-Jul-2022
4-12-41-42-47-49,27-Jul-2022
8-10-22-40-42-45,30-Jul-2022
1-6-12-22-29-30,1-Aug-2022
4-14-18-33-44-46,3-Aug-2022
11-16-21-31-39-48,6-Aug-2022
24-32-35-38-39-47,8-Aug-2022
8-14-18-22-28-46,10-Aug-2022
3-6-35-38-42-48,13-Aug-2022
1-11-31-32-36-39,15-Aug-2022
3-5-14-29-31-39,17-Aug-2022
1-7-13-28-40-45,20-Aug-2022
13-17-20-24-28-42,22-Aug-2022
3-14-21-26-39-45,24-Aug-2022
2-9-17-21-22-31,27-Aug-2022
1-8-16-32-41-49,29-Aug-2022
6-11-20-26-34-39,31-Aug-2022
14-15-39-45-47-48,3-Sep-2022
1-7-15-26-27-46,5-Sep-2022
7-14-22-40-47-49,7-Sep-2022
12-22-33-36-37-45,10-Sep-2022
18-19-27-38-41-44,12-Sep-2022
1-2-3-4-13-37,14-Sep-2022
5-6-11-22-23-38,17-Sep-2022
11-21-28-33-36-39,19-Sep-2022
9-10-14-28-41-42,21-Sep-2022
2-12-20-24-32-45,24-Sep-2022
4-13-21-30-40-49,26-Sep-2022
14-24-26-29-31-32,28-Sep-2022
8-12-16-19-39-41,1-Oct-2022
1-4-26-34-43-49,3-Oct-2022
6-14-18-28-39-44,5-Oct-2022
1-2-36-42-44-45,8-Oct-2022
9-15-21-31-34-39,10-Oct-2022
2-14-25-38-45-46,12-Oct-2022
1-8-9-17-28-38,15-Oct-2022
12-19-25-29-36-37,17-Oct-2022
31-32-33-36-42-49,19-Oct-2022
2-11-13-21-24-46,22-Oct-2022
15-23-34-35-37-49,24-Oct-2022
10-20-42-44-47-49,26-Oct-2022
3-7-9-24-36-37,29-Oct-2022
